Wealth,Age,Gender,Region,TVRegion,LoyaltyStatus,SpendYTD,MemberLength,TargetBuy,TargetAmt
7,75,M,South East,London,Gold,12053.35,7,0,0
6,50,U,South East,S & S East,Tin,0.01,5,1,1
7,45,F,Midlands,East,Tin,0.01,5,0,0
12,46,U,North,Yorkshire,Tin,0.01,5,0,0
8,76,U,North,Yorkshire,Gold,5364,32,0,0
6,76,M,Midlands,Wales & West,Platinum,29035.46,12,0,0
5,78,M,South East,London,Gold,6000,1,0,0
6,65,U,South East,London,Tin,0.01,8,0,0
6,44,F,North,Yorkshire,Tin,0.01,5,0,0
10,39,F,South East,London,Silver,2000,6,0,0
9,49,F,South East,S & S East,Platinum,20744.9,3,0,0
8,41,F,South East,S & S East,Silver,1800,1,1,1
8,44,F,South West,S West,Tin,0.01,8,0,0
5,77,U,Midlands,East,Silver,3000,32,1,1
9,48,F,Midlands,Wales & West,Silver,1200,12,0,0
6,55,F,South East,London,Gold,6000,1,0,0
6,65,M,Scottish,C Scotland,Gold,6000,1,0,0
9,54,F,Midlands,Midlands,Silver,5000,9,0,0
17,43,F,North,Yorkshire,Tin,0.01,5,1,2
6,68,F,Midlands,Midlands,Silver,2000,8,0,0
11,44,M,Midlands,Midlands,Tin,0.01,5,1,1
7,45,M,Scottish,C Scotland,Silver,1200,1,0,0
8,48,M,South East,S & S East,Gold,6000,4,0,0
10,71,F,Midlands,Midlands,Platinum,24000,16,0,0
12,36,F,Midlands,Wales & West,Silver,1420,5,1,1
12,69,M,Midlands,East,Gold,18000,4,0,0
16,58,M,South East,London,Silver,4956.42,5,0,0
4,37,F,South East,London,Tin,0.01,4,1,1
6,67,F,South East,London,Silver,2500,5,0,0
7,58,M,Midlands,Wales & West,Tin,0.01,8,0,0
7,43,F,South East,London,Silver,840,7,0,0
7,66,F,South East,London,Gold,12158.67,7,0,0
8,32,F,Midlands,East,Silver,30,2,1,1
11,47,F,North,N West,Tin,0.01,5,1,2
9,71,F,North,N West,Platinum,40000,9,0,0
6,50,F,Midlands,Midlands,Gold,10000,1,1,1
6,69,U,South West,S West,Gold,6000,2,0,0
11,63,F,North,N West,Gold,6000,6,1,1
10,66,U,Scottish,C Scotland,Silver,1000,5,0,0
17,41,F,South East,London,Tin,0.01,4,1,2
8,65,F,Midlands,Midlands,Tin,0.01,5,1,1
11,42,M,South East,London,Silver,3000,5,0,0
12,43,F,South East,S & S East,Silver,3500,5,1,1
4,78,M,Scottish,C Scotland,Gold,6000,13,0,0
10,55,U,North,N East,Silver,1000,1,0,0
8,51,U,South East,London,Gold,6000,1,0,0
9,44,F,South West,S West,Silver,3197.91,5,0,0
6,60,F,South East,London,Gold,12000,8,0,0
8,73,F,Midlands,Midlands,Silver,1000,9,0,0
7,51,F,South East,London,Gold,6000,1,0,0
9,70,F,Midlands,Wales & West,Silver,50,9,0,0
13,48,M,Midlands,Wales & West,Silver,420.01,9,1,2
15,52,F,South East,London,Gold,6000,1,0,0
11,41,M,South East,London,Platinum,21000,8,0,0
9,49,M,South East,S & S East,Gold,6053.35,6,1,2
5,76,M,Midlands,East,Silver,3000,5,0,0
10,51,M,Midlands,East,Silver,4000,1,0,0
11,65,F,Scottish,N Scot,Silver,2850,18,0,0
9,79,F,Scottish,N Scot,Gold,6000,16,1,1
4,51,F,South East,S & S East,Tin,0.01,8,0,0
7,78,M,South East,London,Platinum,31853.35,8,0,0
4,58,U,Midlands,Wales & West,Silver,1000,5,0,0
10,44,M,Midlands,Midlands,Tin,0.01,6,1,1
9,50,F,South East,S & S East,Silver,1000,12,0,0
6,42,M,South East,London,Tin,0.01,9,1,1
10,67,F,Midlands,Midlands,Gold,9000,3,0,0
10,35,F,South West,S West,Tin,0.01,4,0,0
7,79,U,South East,London,Gold,7000,28,0,0
14,63,M,South East,London,Tin,0.01,4,0,0
12,51,M,Scottish,C Scotland,Gold,10000,1,0,0
2,67,M,South East,London,Silver,4000,5,0,0
5,73,U,Midlands,Wales & West,Platinum,38000,4,0,0
5,40,U,Midlands,Midlands,Tin,0.01,5,0,0
13,52,U,Midlands,East,Silver,1500,10,0,0
11,42,F,Midlands,East,Tin,0.01,8,0,0
9,47,M,Midlands,Midlands,Silver,3000,6,0,0
6,58,F,Midlands,Midlands,Silver,1000,1,0,0
5,56,F,North,Yorkshire,Silver,91.75,26,0,0
5,61,U,Midlands,East,Silver,4884.25,11,0,0
16,34,F,South East,London,Tin,0.01,5,1,2
13,32,F,South East,S & S East,Tin,0.01,5,1,1
8,31,F,North,Yorkshire,Silver,500,2,0,0
16,37,U,Midlands,Wales & West,Tin,0.01,5,1,1
4,36,F,South East,London,Tin,0.01,4,0,0
9,45,M,Midlands,East,Tin,0.01,5,0,0
5,41,U,North,N West,Tin,0.01,6,0,0
11,50,F,Midlands,Midlands,Gold,6000,1,0,0
22,43,F,Midlands,Wales & West,Tin,0.01,9,1,2
6,46,M,Midlands,Wales & West,Silver,620,2,0,0
15,51,F,South East,London,Tin,0.01,5,1,1
12,42,F,Midlands,East,Silver,2000,5,1,1
8,35,F,Midlands,East,Silver,420,4,1,1
13,60,F,South East,London,Gold,7000,2,0,0
9,73,U,South West,S West,Gold,9000,3,0,0
8,38,F,South East,S & S East,Tin,0.01,5,1,1
4,73,M,South East,London,Silver,500,12,0,0
6,35,F,Midlands,Wales & West,Tin,0.01,8,0,0
10,41,F,Midlands,East,Tin,0.01,7,1,1
12,45,M,South East,S & S East,Tin,0.01,8,1,2
9,62,F,South East,London,Gold,12000,2,1,1
8,63,F,South East,S & S East,Tin,0.01,9,0,0
8,44,M,Scottish,C Scotland,Tin,0.01,5,1,1
9,29,F,North,Yorkshire,Tin,0.01,4,0,0
19,35,F,Midlands,Midlands,Tin,0.01,5,1,2
3,34,M,Midlands,Wales & West,Silver,2000,5,0,0
10,53,M,South East,London,Silver,720,9,0,0
10,52,M,North,N East,Gold,6105.32,13,1,1
5,51,M,South East,S & S East,Silver,3900,9,0,0
11,55,F,Scottish,C Scotland,Silver,3000,32,0,0
8,61,M,South East,London,Gold,10001.7,4,0,0
5,40,U,South East,London,Tin,0.01,5,0,0
8,57,M,Midlands,Midlands,Silver,3000,8,0,0
10,35,F,South East,S & S East,Silver,5000,9,0,0
5,19,F,Scottish,C Scotland,Silver,1000,1,0,0
12,36,F,South East,S & S East,Silver,1200,1,1,1
3,65,M,South East,S & S East,Silver,510,20,0,0
9,58,M,South East,S & S East,Tin,0.01,5,0,0
8,42,U,Midlands,Midlands,Tin,0.01,9,0,0
7,65,M,Midlands,Wales & West,Silver,3000,17,0,0
5,48,M,Midlands,Midlands,Silver,50,7,0,0
7,73,U,South East,London,Gold,11400,7,0,0
5,60,M,Scottish,C Scotland,Silver,5000,5,0,0
5,56,F,South East,London,Silver,3000,8,0,0
15,42,F,South East,London,Tin,0.01,5,1,1
4,75,M,North,Yorkshire,Tin,0.01,7,0,0
24,28,F,Midlands,East,Gold,6000,2,1,3
5,78,F,South East,S & S East,Gold,7891.68,5,0,0
6,56,M,Midlands,Midlands,Silver,1800,6,0,0
15,59,F,South East,London,Platinum,30000,2,0,0
10,40,U,South East,London,Tin,0.01,8,0,0
7,76,F,South East,London,Gold,12107.64,9,0,0
8,47,M,South East,London,Gold,10000,4,0,0
3,46,F,Midlands,Midlands,Tin,0.01,5,0,0
6,39,M,Midlands,East,Tin,0.01,1,0,0
5,42,F,Midlands,Midlands,Silver,0.02,5,0,0
8,67,U,Midlands,Wales & West,Platinum,24025,19,0,0
10,59,F,Midlands,East,Silver,1000,4,0,0
6,59,F,North,Yorkshire,Silver,1000,0,0,0
10,55,M,North,N East,Tin,0.01,8,0,0
5,64,M,Midlands,East,Silver,1000,6,0,0
8,59,F,South East,London,Silver,500,8,0,0
8,61,U,South East,London,Silver,3000,7,0,0
13,60,F,South East,London,Gold,6000,5,0,0
9,39,M,South East,London,Silver,2900,7,0,0
5,58,F,Scottish,N Scot,Gold,6000,2,0,0
10,52,F,Midlands,Ulster,Silver,50,11,0,0
6,55,M,Midlands,East,Silver,1200,1,0,0
8,64,U,North,Yorkshire,Gold,15000,31,0,0
7,77,F,South East,London,Silver,4884.25,12,0,0
10,66,M,South East,S & S East,Silver,4000,8,0,0
21,33,F,South East,London,Tin,0.01,7,1,2
5,60,F,North,N West,Silver,1000,4,0,0
7,61,F,South East,London,Gold,9500,11,1,1
13,35,F,South East,London,Gold,6000,9,1,1
10,46,M,Midlands,East,Silver,600,2,0,0
8,71,U,Midlands,Midlands,Gold,6000,2,0,0
11,64,F,South West,S West,Gold,10171.95,7,0,0
6,52,F,South East,London,Silver,5000,1,0,0
7,61,U,South East,London,Gold,13000,1,0,0
12,54,U,South East,London,Silver,5000,6,0,0
5,61,F,North,N East,Gold,6000,2,0,0
8,71,F,North,N West,Gold,6000,1,0,0
9,53,U,North,Yorkshire,Gold,10000,0,0,0
11,61,F,Midlands,East,Gold,6000,6,0,0
5,71,M,South East,London,Gold,6000,5,0,0
8,57,F,North,Yorkshire,Gold,6107.64,5,0,0
6,50,F,Midlands,Midlands,Gold,7000,1,1,1
6,40,U,Midlands,Midlands,Gold,9375,7,0,0
8,50,F,Midlands,Wales & West,Tin,0.01,9,0,0
5,71,F,South East,London,Silver,2400,8,0,0
10,60,F,South West,S West,Gold,6053.34,6,0,0
14,68,F,South East,S & S East,Tin,0.01,9,0,0
7,67,M,Midlands,Wales & West,Gold,6000,1,1,1
7,47,F,North,Yorkshire,Tin,0.01,5,0,0
6,44,F,North,N West,Silver,2500,3,0,0
6,78,F,South East,London,Platinum,50000,4,0,0
11,58,M,North,N West,Silver,1680,12,0,0
11,38,F,Midlands,Wales & West,Gold,9878,8,1,1
6,30,F,Midlands,Midlands,Tin,0.01,4,1,1
6,35,F,Midlands,Midlands,Tin,0.01,5,1,1
3,49,M,Scottish,C Scotland,Silver,4400,5,0,0
14,67,F,South West,S West,Gold,15000,6,0,0
12,48,M,North,Yorkshire,Gold,6000,2,0,0
15,33,F,Midlands,Wales & West,Tin,0.01,8,1,1
11,56,F,Midlands,Wales & West,Silver,4000,5,0,0
10,75,F,Midlands,East,Gold,6053.35,27,0,0
13,60,F,Midlands,East,Silver,1000,18,1,1
11,73,U,North,N East,Platinum,40000,4,0,0
10,57,M,South East,London,Tin,0.01,5,0,0
18,53,M,North,N East,Gold,9500,8,1,2
13,67,U,North,N West,Gold,10600,5,0,0
14,58,F,South East,London,Silver,4000,6,1,1
10,68,F,South East,S & S East,Gold,6000,16,0,0
10,35,F,South East,S & S East,Tin,0.01,6,1,1
5,59,U,South East,London,Silver,1000,1,0,0
5,34,M,North,Yorkshire,Silver,1500,1,1,1
12,41,F,North,N East,Silver,420,1,1,1
12,39,F,South East,London,Tin,0.01,6,1,1
11,57,U,Midlands,East,Gold,6000,2,0,0
11,52,M,Midlands,Midlands,Tin,0.01,5,0,0
19,36,F,Midlands,Midlands,Tin,0.01,5,1,3
12,52,F,South East,London,Gold,6105.32,7,0,0
12,53,F,North,N West,Silver,600,13,0,0
6,57,M,North,Yorkshire,Silver,1200,8,0,0
16,44,F,South East,London,Silver,480,7,1,1
15,74,F,North,N West,Tin,0.01,8,0,0
11,56,F,North,N East,Platinum,78292.5,4,0,0
7,49,M,North,N West,Silver,1000,5,0,0
6,56,F,North,N West,Tin,0.01,4,0,0
13,46,F,South East,S & S East,Silver,3000,1,0,0
11,51,U,South East,London,Silver,100.01,7,0,0
13,36,F,South East,S & S East,Gold,6000,8,1,1
9,69,F,North,Yorkshire,Silver,5000,12,0,0
12,53,F,North,Yorkshire,Tin,0.01,5,1,1
13,68,F,South East,London,Gold,6000,2,0,0
11,49,M,Midlands,Midlands,Silver,2500.01,8,0,0
15,40,M,Midlands,Midlands,Tin,0.01,10,0,0
10,53,M,Midlands,Midlands,Silver,1500,5,0,0
11,57,M,South East,S & S East,Silver,25,12,0,0
5,52,F,South East,London,Silver,3000,3,0,0
5,66,U,Midlands,Wales & West,Gold,15000,4,0,0
6,50,U,Midlands,Wales & West,Silver,5000,5,0,0
15,35,F,Midlands,Midlands,Gold,6000,3,1,2
10,68,F,South West,S West,Gold,10000,4,0,0
5,44,U,South East,London,Gold,8000,2,0,0
12,58,F,Midlands,East,Gold,6107.64,7,0,0
4,52,U,South East,S & S East,Silver,2000,9,0,0
10,62,U,North,N West,Platinum,34105.33,15,0,0
7,48,M,South East,London,Gold,6053.35,6,0,0
11,31,F,South East,London,Silver,50,8,1,1
12,75,M,Midlands,Midlands,Silver,1000,9,0,0
5,55,U,Midlands,East,Silver,3000,4,0,0
5,62,F,South East,London,Silver,3000,3,0,0
10,34,F,Midlands,Wales & West,Tin,0.01,5,1,1
10,59,F,Midlands,Wales & West,Silver,240,9,1,1
6,55,F,Midlands,East,Tin,0.01,8,0,0
2,57,F,South East,London,Silver,100,1,0,0
9,36,F,Midlands,Midlands,Tin,0.01,4,1,1
11,44,M,Midlands,Midlands,Silver,3000,3,1,1
4,77,F,South West,S West,Silver,5000,24,0,0
10,39,F,South East,London,Tin,0.01,9,1,1
7,50,U,Midlands,Midlands,Tin,0.01,4,0,0
7,59,M,Midlands,Wales & West,Silver,1550,5,0,0
10,35,F,Midlands,Wales & West,Silver,900,7,1,1
5,54,F,South West,S West,Tin,0.01,8,0,0
9,58,M,Scottish,C Scotland,Silver,2000,8,0,0
13,53,M,North,N West,Tin,0.01,5,0,0
15,44,F,South East,S & S East,Tin,0.01,10,0,0
10,63,F,Midlands,Wales & West,Silver,3000,12,0,0
9,49,F,South East,London,Tin,0.01,4,1,1
4,61,F,South West,S West,Gold,18330.49,10,0,0
8,69,F,Scottish,N Scot,Silver,4723.27,5,0,0
12,53,F,South East,London,Silver,3052.66,7,0,0
11,35,M,North,N West,Tin,0.01,5,1,1
11,59,F,Midlands,Wales & West,Tin,0.01,10,0,0
5,48,M,North,N West,Tin,0.01,5,0,0
9,28,U,North,Yorkshire,Tin,0.01,4,0,0
12,48,F,South East,London,Tin,0.01,7,0,0
7,68,F,South East,London,Gold,6000,17,0,0
7,70,F,South West,S West,Silver,1595.77,13,0,0
7,39,F,Scottish,Border,Silver,50.02,8,0,0
11,51,U,South West,S West,Gold,5200,3,0,0
3,48,M,South East,London,Tin,0.01,4,0,0
10,67,F,South East,London,Platinum,30075,0,0,0
7,65,F,North,N West,Gold,6000,23,0,0
10,76,F,North,N East,Silver,3200,12,0,0
15,38,F,South East,London,Tin,0.01,9,1,1
15,36,F,Midlands,Wales & West,Tin,0.01,4,1,2
9,69,M,Midlands,Wales & West,Silver,2500,7,0,0
9,50,F,Midlands,Midlands,Silver,5000,5,0,0
5,76,M,North,Yorkshire,Gold,10000,24,0,0
5,39,F,Midlands,Midlands,Tin,0.01,5,0,0
9,66,M,Midlands,Wales & West,Tin,0.01,5,0,0
11,46,U,South East,London,Silver,100.01,8,0,0
5,47,F,South East,S & S East,Gold,6316.06,5,0,0
12,58,F,South East,London,Silver,600,15,1,2
5,54,F,Midlands,Midlands,Silver,2000,1,0,0
7,53,F,South West,S West,Tin,0.01,8,0,0
6,61,M,South East,London,Tin,0.01,8,0,0
11,57,F,South East,London,Silver,1046.17,2,0,0
9,58,F,South East,London,Tin,0.01,5,0,0
2,64,M,South East,London,Gold,10600,4,1,1
15,53,U,North,Yorkshire,Gold,6000,2,0,0
9,68,F,Midlands,Wales & West,Gold,18078.34,4,0,0
12,72,F,North,N West,Tin,0.01,8,0,0
12,52,M,South East,London,Tin,0.01,5,0,0
7,45,F,South East,London,Silver,1000,5,0,0
10,63,F,South East,S & S East,Tin,0.01,9,0,0
9,47,U,Midlands,East,Silver,1960,5,0,0
6,57,M,South East,S & S East,Silver,100,1,0,0
9,63,M,South East,London,Gold,6000,1,0,0
15,51,F,South East,S & S East,Tin,0.01,5,1,2
17,74,F,North,N East,Gold,5500,16,1,1
10,31,F,Midlands,Midlands,Tin,0.01,5,0,0
5,62,F,Scottish,C Scotland,Silver,1000,4,0,0
3,50,M,North,N West,Gold,7553.35,6,0,0
4,59,U,Midlands,East,Tin,0.01,10,0,0
10,44,M,Midlands,Midlands,Gold,18000,1,0,0
3,51,M,South East,London,Tin,0.01,5,0,0
6,65,U,South East,S & S East,Silver,5000,2,0,0
14,61,F,Midlands,Wales & West,Silver,1000,4,0,0
5,32,F,Midlands,East,Tin,0.01,8,1,1
6,45,M,Midlands,Wales & West,Silver,1080,9,0,0
9,50,M,South East,London,Gold,11850.01,11,0,0
7,58,M,North,N West,Silver,50.01,8,0,0
10,69,M,South East,S & S East,Platinum,30000,4,0,0
6,45,U,South East,S & S East,Silver,1200,5,0,0
7,64,U,South East,S & S East,Silver,4780.25,4,0,0
6,64,F,South East,S & S East,Gold,12000,8,0,0
10,38,M,Midlands,Wales & West,Tin,0.01,6,0,0
15,59,F,Midlands,Wales & West,Silver,1800,9,0,0
7,33,F,South East,London,Tin,0.01,8,0,0
13,74,U,Scottish,C Scotland,Silver,5000,13,0,0
10,54,M,Midlands,Wales & West,Gold,7000,2,0,0
2,58,M,Midlands,Wales & West,Tin,0.01,5,0,0
14,34,F,North,N West,Silver,500,2,1,1
11,55,F,Midlands,Midlands,Silver,432.01,5,0,0
7,75,U,South East,London,Silver,5000,5,0,0
6,79,F,Midlands,Midlands,Silver,3000,9,0,0
9,67,F,Midlands,Midlands,Gold,9600,8,0,0
10,30,F,South West,S West,Silver,50,2,1,1
10,51,F,North,N West,Silver,3000,6,0,0
7,56,U,Midlands,East,Silver,3000,5,0,0
13,73,M,Midlands,Ulster,Gold,7500,4,1,1
5,52,U,Midlands,Wales & West,Gold,8000,18,0,0
9,77,M,Scottish,C Scotland,Gold,6000,13,0,0
5,30,U,Scottish,C Scotland,Tin,0.01,7,0,0
3,52,F,North,Yorkshire,Gold,6053.35,10,0,0
6,77,U,North,N West,Silver,5000,4,0,0
13,39,F,South East,London,Tin,0.01,8,1,1
13,40,M,South East,S & S East,Tin,0.01,9,0,0
8,52,M,Midlands,Midlands,Silver,2361.26,13,1,1
14,49,F,North,Yorkshire,Silver,3500,1,1,2
6,71,M,South East,London,Gold,18053.35,8,0,0
10,69,M,South East,London,Gold,10000,1,0,0
5,66,F,Midlands,Midlands,Gold,7522.49,3,0,0
4,40,F,Midlands,Midlands,Tin,0.01,5,0,0
11,70,U,North,N West,Gold,6000,2,0,0
10,32,F,Scottish,C Scotland,Tin,0.01,4,1,1
5,62,M,North,N East,Tin,0.01,5,0,0
10,78,U,South East,S & S East,Gold,9531.57,5,0,0
5,40,U,North,Yorkshire,Tin,0.01,5,1,1
7,74,U,North,N West,Gold,6000,2,0,0
4,71,U,South West,S West,Gold,6053.34,4,0,0
4,50,F,South East,London,Silver,3000,3,0,0
10,77,F,Scottish,C Scotland,Gold,6000,3,0,0
7,59,U,Midlands,Midlands,Silver,3200,5,0,0
10,53,F,South East,London,Tin,0.01,9,0,0
15,36,F,South East,London,Tin,0.01,8,1,3
5,41,F,Midlands,East,Silver,500,2,0,0
8,54,M,North,N East,Silver,1800,2,0,0
4,71,F,North,N East,Platinum,40919.71,16,0,0
9,62,F,Midlands,Midlands,Silver,3000,8,1,1
6,40,F,South East,London,Silver,2987,2,0,0
5,41,U,Midlands,Wales & West,Tin,0.01,5,0,0
3,63,U,North,Yorkshire,Silver,3000,7,0,0
7,58,F,North,Yorkshire,Silver,3920,9,0,0
8,51,M,South East,London,Silver,1000,11,0,0
13,66,F,Midlands,East,Platinum,20439.26,3,0,0
8,46,F,Midlands,Midlands,Silver,600,1,0,0
14,59,F,North,Yorkshire,Silver,610,8,1,1
10,51,F,South East,London,Tin,0.01,11,0,0
15,32,U,North,Yorkshire,Tin,0.01,5,1,1
4,67,F,South East,S & S East,Silver,2000,2,0,0
11,68,F,Scottish,C Scotland,Silver,2500,8,0,0
4,53,M,Midlands,East,Tin,0.01,8,0,0
6,56,F,South East,S & S East,Gold,6105.3,0,0,0
8,65,U,Midlands,Midlands,Gold,7500,13,0,0
13,60,F,North,N West,Tin,0.01,8,0,0
9,35,M,South West,S West,Tin,0.01,9,0,0
6,49,M,Scottish,C Scotland,Gold,6000,3,0,0
12,35,F,Midlands,Midlands,Tin,0.01,5,1,1
3,54,U,Midlands,East,Tin,0.01,9,0,0
5,49,F,South East,London,Tin,0.01,7,0,0
6,45,U,North,Yorkshire,Tin,0.01,4,0,0
9,68,U,South West,S West,Gold,6000,5,1,1
14,58,M,Midlands,Ulster,Silver,5000,4,0,0
8,41,F,South East,London,Tin,0.01,5,0,0
9,59,F,South East,London,Silver,3000,9,0,0
8,40,F,South East,London,Silver,1000,5,1,1
9,45,M,Midlands,East,Silver,2000,5,0,0
2,69,F,South East,S & S East,Silver,2400,9,0,0
7,77,F,South East,London,Gold,12000,2,0,0
10,50,U,North,N West,Gold,12000,8,1,1
11,64,F,Midlands,East,Silver,970,6,0,0
12,70,F,North,Yorkshire,Platinum,35107.85,19,0,0
12,42,U,North,Yorkshire,Silver,2000,1,0,0
7,67,F,South West,S West,Tin,0.01,8,0,0
6,72,F,South East,London,Gold,5602.5,1,0,0
10,34,F,Midlands,East,Tin,0.01,5,0,0
6,38,F,Midlands,Midlands,Gold,6000,2,0,0
10,60,F,Midlands,East,Gold,6000,2,0,0
9,66,F,South East,London,Silver,5000,5,0,0
8,40,M,South East,London,Silver,2075,5,0,0
8,66,F,South West,S West,Gold,6053.34,4,0,0
5,45,F,Scottish,N Scot,Silver,4000,5,0,0
7,49,U,South East,London,Silver,0.02,8,0,0
14,40,M,South East,S & S East,Gold,18053.34,8,1,1
11,59,F,South East,London,Silver,1000,5,0,0
3,32,F,South East,London,Silver,2000,1,1,1
5,68,F,South East,London,Gold,8053.34,9,0,0
13,50,F,Midlands,Midlands,Silver,2000,9,1,2
10,58,U,Midlands,East,Silver,420,4,0,0
6,60,F,North,N West,Tin,0.01,5,0,0
7,44,U,Midlands,Wales & West,Tin,0.01,5,0,0
9,45,F,South East,S & S East,Silver,250,8,0,0
8,78,F,Midlands,Wales & West,Silver,100,1,0,0
13,34,F,Midlands,Midlands,Tin,0.01,4,1,2
9,72,M,Midlands,East,Silver,100,1,0,0
11,49,F,South East,London,Gold,5044.45,6,1,1
14,46,F,North,N West,Tin,0.01,8,1,1
24,56,F,Scottish,C Scotland,Gold,6000,2,1,2
2,42,M,South East,London,Tin,0.01,7,0,0
10,36,F,South East,London,Silver,600,5,1,1
6,49,M,Scottish,C Scotland,Tin,0.01,5,0,0
8,63,F,South East,London,Silver,4000,5,0,0
10,43,F,Midlands,East,Tin,0.01,7,1,1
8,64,U,Midlands,Wales & West,Tin,0.01,9,1,1
4,60,U,Midlands,Midlands,Gold,6000,14,0,0
7,47,F,North,N West,Tin,0.01,9,0,0
7,53,M,South East,London,Gold,17112.8,3,0,0
10,76,M,Midlands,East,Silver,2000,18,0,0
16,42,F,South East,London,Gold,14160.99,6,1,1
12,42,F,North,N East,Silver,600,9,1,1
10,46,F,South West,S West,Silver,600,12,0,0
14,77,M,Midlands,East,Silver,3000,3,0,0
5,66,M,Midlands,Wales & West,Gold,6500,16,0,0
11,50,F,Scottish,C Scotland,Tin,0.01,4,0,0
7,53,F,North,Yorkshire,Silver,3000,2,0,0
6,60,F,North,N West,Gold,12000,8,0,0
11,74,M,Midlands,Midlands,Gold,6107.64,13,0,0
10,75,F,Midlands,Midlands,Gold,9000,20,0,0
6,49,U,South East,S & S East,Silver,3000,7,0,0
6,73,F,Scottish,C Scotland,Silver,1000,5,0,0
7,60,F,Scottish,C Scotland,Silver,1000.01,6,0,0
8,35,U,South East,London,Silver,104.57,5,0,0
8,42,F,Midlands,Midlands,Silver,3400,5,0,0
13,70,F,Midlands,Midlands,Silver,4000,1,0,0
5,65,M,Scottish,C Scotland,Silver,1000,30,0,0
9,70,F,South East,London,Silver,3500,20,0,0
5,59,U,South East,London,Tin,0.01,5,0,0
3,67,M,Midlands,Wales & West,Silver,3000,7,0,0
8,66,F,South West,S West,Gold,6000,8,0,0
6,53,U,South East,London,Gold,5500.01,8,0,0
9,42,U,South East,S & S East,Tin,0.01,8,0,0
6,63,F,Midlands,Midlands,Silver,1238.91,7,0,0
8,50,F,North,N East,Silver,100,1,0,0
8,68,F,South East,S & S East,Silver,469.42,11,0,0
9,58,M,North,N West,Gold,6000,2,0,0
5,48,F,South East,London,Gold,6035.46,12,0,0
8,36,U,Midlands,Midlands,Silver,3000,8,0,0
7,66,F,North,N East,Gold,20000,14,0,0
9,51,F,Scottish,Border,Gold,9000,1,0,0
4,75,F,Midlands,Ulster,Silver,2000,2,0,0
9,44,F,Scottish,Border,Silver,35,2,0,0
5,30,F,Scottish,C Scotland,Gold,5901.28,9,0,0
10,57,F,Midlands,East,Gold,10000,2,1,1
19,56,F,Midlands,Midlands,Gold,7500,3,1,2
9,61,M,South East,London,Gold,6000,4,1,1
8,72,F,Scottish,C Scotland,Silver,600,9,1,1
9,50,F,South East,London,Tin,0.01,5,1,1
5,57,F,South East,London,Silver,3000,8,0,0
8,46,F,North,N East,Gold,9100,9,1,1
7,62,F,South East,London,Gold,6017.78,27,1,1
4,55,U,North,N East,Gold,12000,4,0,0
22,35,M,South East,London,Tin,0.01,5,1,3
5,39,F,North,Yorkshire,Silver,25,2,0,0
4,62,U,Midlands,Wales & West,Tin,0.01,8,0,0
10,57,M,Scottish,N Scot,Silver,2000,1,0,0
11,59,F,Midlands,Wales & West,Gold,12000,21,0,0
7,67,F,Midlands,Midlands,Gold,12000,11,1,1
6,71,U,South East,S & S East,Tin,0.01,8,0,0
8,69,M,Scottish,C Scotland,Silver,4000,27,0,0
8,67,F,North,N West,Gold,6000.01,7,0,0
6,66,M,Midlands,Midlands,Tin,0.01,6,0,0
6,56,U,South East,London,Tin,0.01,8,0,0
11,56,F,South East,London,Tin,0.01,8,0,0
7,65,U,Midlands,Midlands,Tin,0.01,9,0,0
8,79,F,Midlands,East,Silver,1000,1,0,0
11,51,M,Midlands,Midlands,Tin,0.01,11,0,0
7,67,M,Midlands,Midlands,Gold,12053.35,15,0,0
4,47,U,North,N East,Silver,4038.45,4,0,0
4,38,F,Scottish,N Scot,Silver,3000,1,1,1
8,42,M,North,Yorkshire,Tin,0.01,5,0,0
5,49,F,South East,London,Gold,12106.7,7,0,0
8,39,F,South East,London,Gold,10000,4,0,0
5,58,F,Midlands,Wales & West,Gold,6000,1,0,0
5,42,M,North,Yorkshire,Silver,3000,8,0,0
9,41,F,Scottish,N Scot,Tin,0.01,7,0,0
7,50,F,North,N West,Silver,4534.11,1,0,0
8,60,F,South East,London,Gold,6000,5,0,0
4,59,U,Midlands,Midlands,Gold,6000,3,0,0
14,42,F,North,N West,Tin,0.01,5,0,0
8,38,F,Midlands,Midlands,Tin,0.01,8,1,1
7,47,F,North,Yorkshire,Tin,0.01,4,0,0
9,72,F,South East,S & S East,Tin,0.01,7,0,0
5,41,M,South East,London,Tin,0.01,4,1,1
10,68,F,South East,S & S East,Silver,5000,4,1,1
10,62,M,Midlands,Wales & West,Gold,14000,25,0,0
11,55,M,North,N West,Silver,5000,5,0,0
9,62,U,South East,S & S East,Silver,1149.47,19,0,0
9,41,U,Scottish,Border,Silver,300,8,0,0
4,64,M,North,N West,Gold,8000,5,0,0
7,55,F,Scottish,N Scot,Tin,0.01,5,0,0
4,73,F,Midlands,Midlands,Gold,6000,2,0,0
13,64,U,North,Yorkshire,Silver,3000,1,0,0
7,68,F,Scottish,C Scotland,Gold,6053.35,7,0,0
11,32,F,South East,London,Tin,0.01,5,1,1
7,79,M,South East,London,Tin,0.01,5,0,0
7,70,U,North,Yorkshire,Silver,5000,3,0,0
9,48,M,North,Yorkshire,Silver,3000.01,8,0,0
8,55,M,North,N West,Gold,10250,11,0,0
6,47,F,Midlands,East,Gold,6000,1,1,1
12,58,M,South East,London,Gold,12000,2,0,0
